account_id,customer_id,credit_limit,balance,utilisation_rate
1,1,12443,2643,0.21240858313911437
2,2,3225,2286,0.7088372093023256
3,3,6259,3564,0.5694200351493849
4,4,7866,4981,0.6332316297991355
5,5,4310,1098,0.25475638051044086
6,6,7976,3328,0.4172517552657974
7,7,8225,3318,0.4034042553191489
8,8,3163,1868,0.5905785646538096
9,9,5739,3594,0.6262415054887611
10,10,8170,4426,0.5417380660954713
11,11,10346,5424,0.5242605838005026
12,12,4458,2802,0.6285329744279946
13,13,3547,3094,0.8722864392444319
14,14,6201,2038,0.3286566682793098
15,15,4840,1742,0.35991735537190084
16,16,5941,2938,0.49452954048140046
17,17,9719,4715,0.4851322152484824
18,18,6047,3426,0.566561931536299
19,19,8579,3513,0.4094882853479426
20,20,8262,1916,0.23190510772210118
21,21,9017,8390,0.9304646778307641
22,22,7354,4067,0.5530323633396791
23,23,10855,5945,0.5476738830032243
24,24,9003,1897,0.21070754193046762
25,25,8878,3202,0.36066681685064206
26,26,7764,4527,0.5830757341576507
27,27,11925,1912,0.16033542976939202
28,28,5640,4669,0.8278368794326241
29,29,7198,6771,0.940677966101695
30,30,9727,7385,0.7592268942119873
31,31,6011,2649,0.44069206454832804
32,32,9408,4399,0.46758078231292516
33,33,7623,4942,0.6483011937557392
34,34,3193,2511,0.7864077669902912
35,35,2919,2067,0.7081192189105858
36,36,4401,1687,0.3833219722790275
37,37,8809,5460,0.6198206379838801
38,38,6404,2863,0.4470643347907558
39,39,4914,2477,0.504070004070004
40,40,2601,1281,0.4925028835063437
41,41,8011,3788,0.47284983148171267
42,42,9075,4312,0.47515151515151516
43,43,8727,3642,0.41732554142316947
44,44,5480,6576,1.2
45,45,10149,4363,0.4298945708936841
46,46,6795,6617,0.973804267844003
47,47,5713,3054,0.5345702783126204
48,48,5453,3927,0.7201540436456996
49,49,5270,3306,0.6273244781783681
50,50,7427,4427,0.5960683990844217
51,51,2700,2371,0.8781481481481481
52,52,3287,1523,0.4633404320048677
53,53,2224,1353,0.608363309352518
54,54,4374,4179,0.9554183813443072
55,55,5785,2710,0.46845289541918755
56,56,2993,2497,0.8342799866354828
57,57,8989,5470,0.6085215263099344
58,58,11334,5617,0.49558849479442385
59,59,9008,3077,0.34158525754884544
60,60,10080,6667,0.6614087301587301
61,61,7306,3888,0.532165343553244
62,62,7762,4677,0.6025508889461479
63,63,3853,1090,0.2828964443290942
64,64,12785,6387,0.49956980836918263
65,65,11859,6834,0.576271186440678
66,66,6874,6805,0.9899621763165551
67,67,9302,2143,0.23038056331971618
68,68,4901,5643,1.151397673944093
69,69,10589,7376,0.6965719142506375
70,70,1206,416,0.3449419568822554
71,71,4419,3295,0.7456438108169269
72,72,9676,5250,0.5425795783381563
73,73,5426,2175,0.40084776999631405
74,74,2602,1892,0.7271329746348962
75,75,4950,3878,0.7834343434343435
76,76,5615,2959,0.5269813000890472
